distance,start_from
884,0
978,0
905,0
886,0
185,0
192,0
948,0
201,0
189,0
187,0
978,0
186,0
900,0
482,0
189,0
457,0
911,0
907,0
909,0
978,0
482,0
908,0
886,0
188,0
690,0
193,0
185,0
191,0
978,0
185,0
189,0
974,0
908,0
482,0
908,0
189,0
978,0
194,0
978,0
913,0
898,0
186,0
190,0
912,0
482,0
908,0
482,0
189,0
193,0
185,0
191,0
906,0
189,0
906,0
189,0
482,0
192,0
908,0
188,0
906,0
192,0
482,0
189,0
913,0
911,0
185,0
189,0
482,0
189,0
185,0
482,0
189,0
189,0
186,0
189,0
171,0
190,0
909,0
189,0
910,0
189,0
909,0
192,0
910,0
189,0
978,0
908,0
909,0
186,0
905,0
186,0
189,0
692,0
189,0
665,0
187,0
186,0
189,0
958,0
482,0
186,0
189,0
189,0
189,0
186,0
191,0
910,0
189,0
978,0
679,0
468,0
190,0
661,0
184,0
949,0
978,0
185,0
189,0
907,0
189,0
978,0
978,0
978,0
197,0
187,0
1187,0
189,0
482,0
188,0
185,0
195,0
186,0
191,0
258,0
1138,0
910,0
188,0
193,0
189,0
910,0
978,0
191,0
905,0
194,0
482,0
194,0
191,0
186,0
195,0
189,0
482,0
189,0
190,0
978,0
189,0
908,0
880,0
194,0
971,0
189,0
189,0
194,0
906,0
871,0
189,0
194,0
185,0
192,0
189,0
187,0
186,0
695,0
906,0
189,0
900,0
482,0
189,0
959,0
190,0
188,0
193,0
978,0
185,0
190,0
185,0
191,0
189,0
696,0
186,0
195,0
187,0
870,0
907,0
908,0
186,0
185,0
974,0
482,0
191,0
186,0
191,0
